symbol,Date,Close,High,low,Open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-12-08 00:00:00+00:00,124.38,124.98,123.09,124.37,82225512,123.9843551,124.5824465,122.6984585,123.9743869,82225512,0,1
AAPL,2020-12-09 00:00:00+00:00,121.78,125.95,121,124.53,115089193,121.3926255,125.549361,120.6151067,124.133878,115089193,0,1
AAPL,2020-12-10 00:00:00+00:00,123.24,123.87,120.15,120.5,81312170,122.8479814,123.4759774,119.7678105,120.1166971,81312170,0,1
AAPL,2020-12-11 00:00:00+00:00,122.41,122.76,120.55,122.43,86939786,122.0206215,122.3695082,120.1665381,122.0405579,86939786,0,1
AAPL,2020-12-14 00:00:00+00:00,121.78,123.35,121.54,122.6,79075988,121.3926255,122.9576315,121.153389,122.2100172,79075988,0,1
AAPL,2020-12-15 00:00:00+00:00,127.88,127.9,124.13,124.34,157572262,127.4732218,127.4931582,123.7351503,123.9444823,157572262,0,1
AAPL,2020-12-16 00:00:00+00:00,127.81,128.37,126.56,127.41,98208591,127.4034445,127.9616632,126.1574207,127.0047169,98208591,0,1
AAPL,2020-12-17 00:00:00+00:00,128.7,129.58,128.045,128.9,94359811,128.2906135,129.1678142,127.637697,128.4899773,94359811,0,1
AAPL,2020-12-18 00:00:00+00:00,126.655,129.1,126.12,128.96,192541496,126.2521185,128.6893411,125.7188203,128.5497864,192541496,0,1
AAPL,2020-12-21 00:00:00+00:00,128.23,128.31,123.449,125.02,121251553,127.8221085,127.901854,123.0563165,124.6223193,121251553,0,1
AAPL,2020-12-22 00:00:00+00:00,131.88,134.405,129.65,131.61,169351825,131.4604981,133.9774662,129.2375916,131.1913569,169351825,0,1
AAPL,2020-12-23 00:00:00+00:00,130.96,132.43,130.78,132.16,88223692,130.5434245,132.0087486,130.3639971,131.7396074,88223692,0,1
AAPL,2020-12-24 00:00:00+00:00,131.97,133.46,131.1,131.32,54930064,131.5502118,133.0354722,130.6829792,130.9022794,54930064,0,1
AAPL,2020-12-28 00:00:00+00:00,136.69,137.34,133.51,133.99,123124632,136.2551978,136.9031302,133.0853131,133.5637863,123124632,0,1
AAPL,2020-12-29 00:00:00+00:00,134.87,138.789,134.3409,138.05,121047324,134.4409871,138.347521,133.9135701,137.6108717,121047324,0,1
AAPL,2020-12-30 00:00:00+00:00,133.72,135.99,133.4,135.58,96452124,133.2946451,135.5574244,132.975663,135.1487286,96452124,0,1
AAPL,2020-12-31 00:00:00+00:00,132.69,134.74,131.72,134.08,99116586,132.2679215,134.3114006,131.301007,133.6535,99116586,0,1
AAPL,2021-01-04 00:00:00+00:00,129.41,133.6116,126.76,133.52,143301887,128.998355,133.18659,126.3567845,133.0952813,143301887,0,1
AAPL,2021-01-05 00:00:00+00:00,131.01,131.74,128.43,128.89,97664898,130.5932655,131.3209434,128.0214723,128.4800091,97664898,0,1
AAPL,2021-01-06 00:00:00+00:00,126.6,131.0499,126.382,127.72,155087970,126.1972934,130.6330386,125.9799869,127.3137308,155087970,0,1
AAPL,2021-01-07 00:00:00+00:00,130.92,131.63,127.86,128.36,109578157,130.5035518,131.2112933,127.4532854,127.951695,109578157,0,1
AAPL,2021-01-08 00:00:00+00:00,132.05,132.63,130.23,132.43,105158245,131.6299573,132.2081124,129.8157466,132.0087486,105158245,0,1
AAPL,2021-01-11 00:00:00+00:00,128.98,130.17,128.5,129.19,100620880,128.5697228,129.7559375,128.0912496,128.7790548,100620880,0,1
AAPL,2021-01-12 00:00:00+00:00,128.8,129.69,126.86,128.5,90440255,128.3902954,129.2774643,126.4564664,128.0912496,90440255,0,1
AAPL,2021-01-13 00:00:00+00:00,130.89,131.45,128.49,128.76,88636831,130.4736472,131.0318659,128.0812814,128.3504226,88636831,0,1
AAPL,2021-01-14 00:00:00+00:00,128.91,131,128.76,130.8,90221755,128.4999455,130.5832973,128.3504226,130.3839335,90221755,0,1
AAPL,2021-01-15 00:00:00+00:00,127.14,130.2242,127,128.78,111598531,126.7355757,129.8099651,126.596021,128.370359,111598531,0,1
AAPL,2021-01-19 00:00:00+00:00,127.83,128.71,126.938,127.78,90757329,127.4233809,128.3005816,126.5342183,127.3735399,90757329,0,1
AAPL,2021-01-20 00:00:00+00:00,132.03,132.49,128.55,128.66,104319489,131.6100209,132.0685577,128.1410906,128.2507407,104319489,0,1
AAPL,2021-01-21 00:00:00+00:00,136.87,139.67,133.59,133.8,120529544,136.4346252,139.2257186,133.1650587,133.3743907,120529544,0,1
AAPL,2021-01-22 00:00:00+00:00,139.07,139.85,135.02,136.28,114459360,138.6276271,139.405146,134.5905099,135.846502,114459360,0,1
AAPL,2021-01-25 00:00:00+00:00,142.92,145.09,136.54,143.07,157611713,142.4653805,144.6284779,136.1056749,142.6149034,157611713,0,1
AAPL,2021-01-26 00:00:00+00:00,143.16,144.3,141.37,143.6,98390555,142.7046171,143.8409908,140.920311,143.1432175,98390555,0,1
AAPL,2021-01-27 00:00:00+00:00,142.06,144.3,140.41,143.43,140843759,141.6081161,143.8409908,139.9633647,142.9737583,140843759,0,1
AAPL,2021-01-28 00:00:00+00:00,137.09,141.99,136.7,139.52,142621128,136.6539254,141.5383388,136.265166,139.0761957,142621128,0,1
AAPL,2021-01-29 00:00:00+00:00,131.96,136.74,130.21,135.83,177523812,131.5402436,136.3050387,129.7958102,135.3979334,177523812,0,1
AAPL,2021-02-01 00:00:00+00:00,134.14,135.38,130.93,133.75,106239823,133.7133092,134.9493648,130.51352,133.3245497,106239823,0,1
AAPL,2021-02-02 00:00:00+00:00,134.99,136.31,134.61,135.73,82266419,134.5606054,135.8764065,134.1818141,135.2982515,82266419,0,1
AAPL,2021-02-03 00:00:00+00:00,133.94,135.77,133.61,135.76,89880937,133.5139453,135.3381242,133.1849951,135.328156,89880937,0,1
